val_loss,val_acc,train_loss,f1,roc_auc
0.7877485156059265,0.6323147416114807,0.8619061708450317,0.501095540451083,0.8295419233477691
0.6922146081924438,0.6746296286582947,0.6872915625572205,0.5791020092851625,0.8586572474199311
0.6422478556632996,0.7222222685813904,0.6069655418395996,0.6680295085372349,0.8717698209823
0.6281814575195312,0.7302777171134949,0.5393772125244141,0.6744890095981925,0.8908026705542985
0.6197910904884338,0.7269444465637207,0.4877149164676666,0.6703632176325893,0.9034495084623814
0.5861433744430542,0.7449073791503906,0.4275398850440979,0.714598434793765,0.905221685276206
0.5987148284912109,0.7262962460517883,0.356843501329422,0.6731294329149935,0.9133527205009865
0.5409585237503052,0.7648148536682129,0.2741891145706177,0.7375416362080954,0.9154286568037892
0.5657138824462891,0.7558333277702332,0.20299121737480164,0.7236708490306882,0.9164200947329828
0.5513585209846497,0.771481454372406,0.13863420486450195,0.7474727049592085,0.9141681084661547
0.7374693751335144,0.7159259915351868,0.09438298642635345,0.6661212455733003,0.9104127498417972
0.6584681868553162,0.758518636226654,0.06310927867889404,0.7220634647307819,0.9207413373474255
0.6724385023117065,0.7708333134651184,0.03710709512233734,0.7459933627900829,0.9162184722687524
0.6782064437866211,0.778796374797821,0.01987062580883503,0.7548479477946284,0.9174309861194611
0.677456259727478,0.7671297192573547,0.014057857915759087,0.741631747254483,0.9190323906437795
