val_loss,val_acc,train_loss,f1,roc_auc
1.0165870189666748,0.6012962460517883,0.8160018920898438,0.5278724926822749,0.8414761732117481
0.8760936260223389,0.6306480765342712,0.6496140360832214,0.5207035384021995,0.8368424769681774
0.6806651949882507,0.7102777361869812,0.6113699674606323,0.6472825445050207,0.8703816141117368
0.6214154362678528,0.7112035751342773,0.5886764526367188,0.6368656917159493,0.8754867316203073
0.7151767611503601,0.6718518733978271,0.5697937607765198,0.6026634668117626,0.8597087029617697
0.6008501052856445,0.7337962985038757,0.5471270680427551,0.6996157416549211,0.8841113441446624
0.5956481099128723,0.7571296095848083,0.5274147391319275,0.7345529663421493,0.8921334859014701
0.6168519258499146,0.7550926208496094,0.5033582448959351,0.7486015566583863,0.883894016136936
0.6731069087982178,0.6981480717658997,0.4896829426288605,0.6922579779714906,0.8618874901776614
0.8057918548583984,0.6334258913993835,0.4749264717102051,0.6337517843446453,0.8545404573270693
0.608166515827179,0.7481481432914734,0.46644484996795654,0.6999457739343864,0.9018819626422232
0.626740574836731,0.7531481385231018,0.4615232050418854,0.7282694717106982,0.9024674275696537
0.6453192830085754,0.7155554890632629,0.43924346566200256,0.6365280321864982,0.9085142657836887
0.6135965585708618,0.7464814186096191,0.43354442715644836,0.7120783829141469,0.8997288499105854
0.6522818803787231,0.7594444751739502,0.4235149919986725,0.7369714113287248,0.9098804440997385
