val_loss,val_acc,train_loss,f1,roc_auc
0.6796860694885254,0.6762962937355042,0.7984524965286255,0.566071964111195,0.8453518985095542
0.6522796154022217,0.7158333659172058,0.6388577222824097,0.6804557799598734,0.8561278645407072
0.6915425062179565,0.7028703689575195,0.5613152384757996,0.6609765169539,0.86193896662623
0.9042506217956543,0.6595370173454285,0.526618480682373,0.5969753437109419,0.8250665828357787
0.6572698354721069,0.7481482028961182,0.521008312702179,0.7294823088500229,0.8699905307810805
0.6545052528381348,0.7537962794303894,0.49359753727912903,0.7355425088041647,0.8730975258159871
0.7669948935508728,0.6945369839668274,0.4668762683868408,0.6453221904058045,0.8560049482660418
0.5948257446289062,0.7521295547485352,0.44027411937713623,0.7326732901606982,0.8919190899351431
0.5985197424888611,0.7550926208496094,0.4179916977882385,0.7307444494109364,0.8976955429401287
0.7432197332382202,0.7258333563804626,0.4059581756591797,0.6652282652671236,0.8993019956748564
0.8839108943939209,0.6456480622291565,0.3964371383190155,0.547207389526898,0.8607266312476064
0.6756741404533386,0.7287962436676025,0.3921365737915039,0.7017535604492126,0.8834875842069542
0.7522220611572266,0.7248148322105408,0.3542376458644867,0.6792779077330232,0.8690255067204938
0.9244253039360046,0.700925886631012,0.3297297954559326,0.6094587382450732,0.8793541707141586
1.0706545114517212,0.6725926399230957,0.3286377787590027,0.5800779755654857,0.8785987748656233
