val_loss,val_acc,train_loss,f1,roc_auc
1.8169864416122437,0.47566309571266174,0.9559311270713806,0.21502890173410405,0.5000880249820125
0.724437415599823,0.6898924708366394,0.6890098452568054,0.6232591166288636,0.8689324462760779
0.6319543123245239,0.7324373126029968,0.5959805846214294,0.7287665530770938,0.8794770869888241
0.7870765924453735,0.6257168650627136,0.5131513476371765,0.518086426328949,0.867148872744814
0.5911170840263367,0.7647311687469482,0.47792309522628784,0.7322863098758119,0.9057806853430055
0.5630377531051636,0.7312723994255066,0.4526253640651703,0.7402855714196773,0.9021821016974735
0.6928342580795288,0.7291039824485779,0.4005691707134247,0.671053068750746,0.9096772918747779
0.6201647520065308,0.7644802927970886,0.35087645053863525,0.7454604904604114,0.9136182869637359
0.5408922433853149,0.7784408926963806,0.28901779651641846,0.7602128932123096,0.919925490454038
0.5110480189323425,0.7851075530052185,0.22806648910045624,0.7760109120276463,0.9207516122403295
